,customerId,offerId
0,4078,45436
1,4055,26000
2,4055,26000
3,4055,26000
4,4055,26000
5,4055,26000
6,4060,49124
7,4060,46287
8,4060,49124
9,4060,44862
10,4060,44862
11,4060,46287
12,2270,49340
13,2270,37819
14,2270,42609
15,2270,49327
16,2270,47607
17,2270,48725
18,2270,49322
19,2270,49330
20,2270,37819
21,2270,49331
22,2270,47607
23,2270,49339
24,2270,49331
25,2270,42609
26,2270,49325
27,2270,49340
28,2270,49197
29,2270,48725
30,2270,49330
31,2270,49338
32,2270,43621
33,2270,49338
34,2270,43621
35,2270,49337
36,2270,49325
37,2270,49326
38,2270,49322
39,2270,49197
40,2270,49339
41,2270,49336
42,2270,49336
43,2270,49329
44,2270,49327
45,2270,49329
46,2270,49326
47,2270,49337
48,4062,45227
49,4062,49349
50,4062,47303
51,4062,47303
52,4062,29759
53,4062,49349
54,4062,29759
55,2251,39319
56,2251,39315
57,2251,39319
58,4000,26198
59,4000,26199
60,4000,31719
61,4000,26203
62,4000,26193
63,4000,26199
64,4000,26203
65,4000,26198
66,4000,26204
67,4000,26193
68,4000,26205
69,4000,26206
70,4000,31719
71,4000,31719
72,4075,30687
73,4075,30687
74,4075,49070
75,4076,47303
76,4076,47303
77,4074,20459
78,4074,32321
79,4074,32321
80,4074,20459
81,4074,20459
82,4077,11846
83,4077,11846
84,4062,47303
85,4062,47303
86,4062,49069
87,4062,49069
88,4062,49070
89,4062,49070
90,4062,38665
91,4062,38665
92,4062,49349
93,4062,47303
94,4062,49348
95,4062,49348
96,4062,47303
97,4062,49349
98,4062,45227
99,4078,49336
100,4078,49336
101,4062,46257
102,4062,46257
103,4064,24977
104,4064,24977
105,4064,21024
106,4066,29515
107,4066,26580
108,4066,26578
109,4066,26573
110,4066,26574
111,4066,26575
112,4066,26576
113,4066,26579
114,4066,26000
115,4066,26594
116,4066,26594
117,4066,26579
118,4066,26000
119,4066,29515
120,3943,20097
121,4068,32773
122,4068,32773
123,4069,37819
124,4069,43887
125,4069,43887
126,4069,46558
127,4069,43887
128,4069,48139
129,4069,37819
130,4069,33292
131,4069,46558
132,4069,48139
133,4069,40827
134,4069,40827
135,4069,46011
136,4069,46011
137,4069,30619
138,4069,33996
139,4069,33996
140,4069,30619
141,4069,39319
142,4069,41331
143,4069,41331
144,4069,39319
145,4071,40498
146,4071,29658
147,4071,42607
148,4071,47559
149,4071,29658
150,4071,33292
151,4068,28644
152,4068,28644
153,4068,28644
154,4068,28644
155,4073,47303
156,4073,45931
157,4073,45932
158,4073,45930
159,4073,45931
160,4073,45930
161,4073,45930
162,4045,43887
163,4045,43887
164,4045,26211
165,4045,26211
166,196,16148
167,196,16148
168,4047,46243
169,4048,45969
170,4048,42825
171,4049,45950
172,4049,47303
173,4049,45340
174,4049,45950
175,4049,47303
176,4049,45335
177,4049,45340
178,4049,45335
179,4049,45340
180,4049,45340
181,4050,47303
182,4050,47303
183,4052,46260
184,4052,46260
185,4016,37274
186,4055,26000
187,4055,26000
188,4056,49069
189,4058,45957
190,4058,43887
191,4058,45957
192,4061,23080
193,4061,23080
194,4061,46259
195,4061,33292
196,4061,33292
197,4061,32528
198,4061,32528
199,4061,48840
200,4061,49069
201,4061,49069
202,4061,48840
203,4061,46259
204,4034,33885
205,4035,45620
206,4035,45620
207,4035,47978
208,4035,47981
209,4035,47981
210,4035,47978
211,4036,45953
212,4036,45953
213,4038,28041
214,4038,28041
215,4038,28270
216,4038,28062
217,4040,49068
218,4040,49068
219,4040,49067
220,4040,49067
221,4040,45949
222,4040,49067
223,4040,49070
224,4040,48172
225,4040,48172
226,4040,49070
227,4040,49067
228,4040,49069
229,4040,49069
230,4040,45949
231,4020,48858
232,4020,48855
233,4020,48858
234,4020,48858
235,4043,39316
236,4043,39316
237,4043,42438
238,4039,28913
239,4039,28913
240,4016,37274
241,4016,45626
242,4016,45626
243,4016,46885
244,4016,46885
245,4000,17379
246,4000,17379
247,4017,11844
248,4017,49133
